source,review_id,group_id,source_url,source_license,source_license_url
PMC Open Access,PMC:PMC10050355,pmc open access:PMC10050355:T1:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10050355/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10052363,pmc open access:PMC10052363:medicina-59-00540-t001:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10052363/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10063291,pmc open access:PMC10063291:T2:table-2-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10063291/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC10116981,pmc open access:PMC10116981:lio21049-tbl-0001:table-1-characteristics-of-the-selected-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10116981/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC10136496,pmc open access:PMC10136496:cancers-15-02308-t001:table-1-basic-characteristics-of-the-studies-for-volatile-organic-compounds-in-t:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10136496/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10150145,pmc open access:PMC10150145:Tab1:table-1-characteristics-and-outcomes-of-the-included-studies-n-9:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10150145/,This article is made available via the PMC Open Access Subset for unrestricted research re-use and secondary analysis in any form or by any means with acknowledgement of the original source. These permissions are granted for the duration of the World Health Organization (WHO) declaration of COVID-19 as a global pandemic.,https://pmc.ncbi.nlm.nih.gov/tools/openftlist/
PMC Open Access,PMC:PMC10187020,pmc open access:PMC10187020:mdc313710-tbl-0001:table-1-diagnostic-results-and-methodological-aspects-for-all-included-studies-i:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187020/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC10197917,pmc open access:PMC10197917:T1:table-1-characteristics-of-the-studies-included-in-meta-analysis:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10197917/,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/
PMC Open Access,PMC:PMC10266642,pmc open access:PMC10266642:pone.0286650.t001:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10266642/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10316459,pmc open access:PMC10316459:TAB2:table-2-characteristics-of-studies-b-bacteriology-cd-clinical-diagnosis-cect-con:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10316459/,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
PMC Open Access,PMC:PMC10320388,pmc open access:PMC10320388:T1:table-1-the-basic-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10320388/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10323525,pmc open access:PMC10323525:T1:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10323525/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC10340581,pmc open access:PMC10340581:diagnostics-13-02145-t003:table-3-performance-of-the-ml-architecture:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10340581/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10423382,pmc open access:PMC10423382:t1:table-1-characteristics-of-studies-included-in-the-meta-analysis-9-12-16-26-40:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10423382/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC10439656,pmc open access:PMC10439656:Tab3:table-3-diagnostic-test-performance-of-ccl14-for-persistent-aki:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10439656/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10440897,pmc open access:PMC10440897:Tab1:table-1-general-characteristics-of-the-included-literatures:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10440897/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10492155,pmc open access:PMC10492155:tbl0001:table-1-characteristics-of-the-studies-included-in-the-meta-analysis:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10492155/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC10500291,pmc open access:PMC10500291:JCTH-2022-00107-t1:table-1-characteristics-of-included-studies-for-the-systematic-review-on-detecti:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10500291/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC10542215,pmc open access:PMC10542215:TAB3:table-3-diagnostic-accuracy-analysis-tp-true-positive-tn-true-negative-fp-false-:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10542215/,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
PMC Open Access,PMC:PMC10562686,pmc open access:PMC10562686:T2:table-2-principal-data-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10562686/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10568949,pmc open access:PMC10568949:T1:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10568949/,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/
PMC Open Access,PMC:PMC10621111,pmc open access:PMC10621111:Tab2:table-2-integrated-data-for-individual-studies-by-site-of-pathology:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10621111/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10655687,pmc open access:PMC10655687:j_med-2023-0827_tab_001:table-1-summary-of-patient-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10655687/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10660142,pmc open access:PMC10660142:T2:table-2-quantitative-extracted-data-from-the-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10660142/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC10670251,pmc open access:PMC10670251:diagnostics-13-03457-t004:table-4-individual-and-cumulative-statistics-for-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10670251/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10691410,pmc open access:PMC10691410:table4-00221554231212948:table-4-diagnostic-performance-of-fcm-in-margin-assessment-across-included-studi:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10691410/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10706337,pmc open access:PMC10706337:diagnostics-13-03527-t001:table-1-study-characteristics:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10706337/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10787364,pmc open access:PMC10787364:ofad624-T3:table-3-summary-of-diagnostic-accuracy-data-for-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10787364/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10795679,pmc open access:PMC10795679:diagnostics-14-00113-t001:table-1-summary-of-the-studies-included-in-the-meta-analysis:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10795679/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10814052,pmc open access:PMC10814052:diagnostics-14-00147-t002:table-2-tp-fp-fn-tn-and-cut-off-value-from-the-reports-included-in-the-meta-anal:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10814052/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10814351,pmc open access:PMC10814351:diagnostics-14-00207-t001:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10814351/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10843323,pmc open access:PMC10843323:T2:table-2-diagnostic-data-of-proven-or-probable-ia-vs-possible-or-no-ia-in-serum:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10843323/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC10949827,pmc open access:PMC10949827:t1-medscimonit-30-e943461:table-1-the-baseline-characteristic-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10949827/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11046764,pmc open access:PMC11046764:Tab2:table-2-diagnostic-test-performance-of-prognostic-nutritional-index-for-acute-ki:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11046764/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11077389,pmc open access:PMC11077389:T1:table-1-detailed-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11077389/,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/
PMC Open Access,PMC:PMC11094978,pmc open access:PMC11094978:Tab1:table-1-the-main-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11094978/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11144246,pmc open access:PMC11144246:Tab1:table-1-detailed-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11144246/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11238349,pmc open access:PMC11238349:Tab2:table-2-summary-of-findings-of-the-included-studies-on-the-utility-of-dpcr-in-tr:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11238349/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11325575,pmc open access:PMC11325575:Tab1:table-1-basic-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11325575/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11331836,pmc open access:PMC11331836:T2:table-2-main-effect-sizes-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11331836/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC11399157,pmc open access:PMC11399157:Tab1:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11399157/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11405155,pmc open access:PMC11405155:T3:table-3-parameters-of-diagnostic-experiments-included-in-the-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11405155/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11477532,pmc open access:PMC11477532:ijms-25-10743-t002:table-2-results-of-individual-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11477532/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11485374,pmc open access:PMC11485374:t1:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11485374/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11485385,pmc open access:PMC11485385:t2:table-2-methodology-assessment-of-the-studies-included-in-the-present-meta-analy:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11485385/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11521955,pmc open access:PMC11521955:tab2:table-2-technical-aspects-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11521955/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11539622,pmc open access:PMC11539622:Tab1:table-1-clinical-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11539622/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11563508,pmc open access:PMC11563508:table3-1742271X241289726:table-3-diagnostic-accuracy-results-from-included-studies-with-data-presented-to:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11563508/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11668106,pmc open access:PMC11668106:Tab4:table-4-diagnostic-accuracy-results-hospitalized-patients:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11668106/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11674177,pmc open access:PMC11674177:Tab1:table-1-summary-of-study-characteristics:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11674177/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11788135,pmc open access:PMC11788135:T2:table-2-frequency-of-total-and-number-of-cases-in-which-iota-sr-was-applied-and-:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11788135/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11837447,pmc open access:PMC11837447:Tab2:table-2-algorithm-and-data-for-the-20-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11837447/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11841914,pmc open access:PMC11841914:pone.0314825.t002:table-2-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11841914/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11864958,pmc open access:PMC11864958:T1:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11864958/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11912079,pmc open access:PMC11912079:t3:table-3-diagnostic-accuracy-for-ca72-4-in-the-eligible-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11912079/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11924644,pmc open access:PMC11924644:Tab1:table-1-basic-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11924644/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC11927552,pmc open access:PMC11927552:table-2:table-2-accuracy-of-rapid-on-site-evaluation-for-diagnosis-of-pulmonary-lesions:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11927552/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11930825,pmc open access:PMC11930825:tab1:table-1-summary-characteristics-of-studies-included-in-the-meta-analysis:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11930825/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC11962200,pmc open access:PMC11962200:brb370464-tbl-0001:table-1-characteristics-of-selected-studies-n-9:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11962200/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC12013204,pmc open access:PMC12013204:Tab1:table-1-baseline-characteristics-of-included-studies-for-meta-analysis:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12013204/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12099142,pmc open access:PMC12099142:table1-15330338251342860:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12099142/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
PMC Open Access,PMC:PMC12130278,pmc open access:PMC12130278:cai270015-tbl-0001:table-1-summarized-data-of-the-13-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12130278/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12153147,pmc open access:PMC12153147:Tab2:table-2-baseline-characteristics:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12153147/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12158847,pmc open access:PMC12158847:Tab1:table-1-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12158847/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC12224789,pmc open access:PMC12224789:Tab1:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12224789/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12247473,pmc open access:PMC12247473:Tab1:table-1-major-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12247473/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12299215,pmc open access:PMC12299215:medicina-61-01308-t001:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12299215/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC12308927,pmc open access:PMC12308927:Tab3:table-3-data-on-histopathological-accuracy:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12308927/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/
PMC Open Access,PMC:PMC12401319,pmc open access:PMC12401319:T1:table-1-basic-characteristics-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12401319/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC12417917,pmc open access:PMC12417917:table-1:table-1-features-of-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12417917/,PMC Open Access Subset,https://pmc.ncbi.nlm.nih.gov/tools/openftlist/
