doi,title,description,subjects,publisher,publication_year,resource_type,resource_type_general,license,license_url,source_url,source,source_id,matched_queries,file_probe_selected,in_fixed_osf_inventory,access_status,public_file_count
10.17605/osf.io/4ag3v,Diagnostic Accuracy of MRI for Detecting Nerve Injury in Brachial Plexus Birth Injury,,,OSF,2023,Project,Text,,,https://osf.io/4ag3v/,OSF,4ag3v,"""diagnostic accuracy""",True,True,files_enumerated,1
10.17605/osf.io/4ceuz,Protocol,"systematic review protocol

Title
Deep Learning Methods for Breast Cancer Analysis Using MRI: A Systematic Review

Review Question
What deep learning methods have been applied to breast cancer detection, classification, and segmentation using MRI, and what are their reported performance characteristics and limitations?

Eligibility Criteria
The inclusion criteria were:
(1) studies applying deep learning (DL) models for breast cancer diagnosis or classification,
(2) the use of MRI-based imaging as the primary modality,
(3) evaluation using standard metrics (e.g., accuracy, AUC, sensitivity).
(4) availability of experimental design or dataset details.
(5) Written in English.
The exclusion criteria included:
(1) studies relying solely on machine learning (ML) without explicit comparison to or integration with DL models.
(2) imaging modalities other than MRI,
(3) papers lacking full methodological or evaluation details.
(4) studies focusing on other cancer types.
(5) Conference papers.

Information Sources
PubMed, Google Scholar, Web of Science

Search Strategy
The search was conducted using explicit Boolean strings for each database syntax: (“breast cancer” OR “breast tumour”) AND (“MRI” OR “magnetic resonance imaging”) AND (“deep learning” OR “convolutional neural network” OR “CNN” OR “YOLO”) AND (“classification” OR “segmentation” OR “detection”).

Study Selection
Titles/abstracts screened → full-text review → inclusion.
Following PRISMA 2020 framework to ensure reproducibility, transparency, and methodological rigor in the identification, screening, and study selection.

Data Extraction
MRI modality, metrics.

Risk of Bias / Quality Assessment
Qualitative methodological assessment (dataset size, validation strategy).
The reliability of the included studies evaluated based on different standards: Data integrity: where verified ground truth was met by utilizing trusted publicly available datasets (e.g., Duke, QIN-Breast, TCGA-BRCA). Imbalance Handling: where a key risk of bias in BC detection is the prevalence of imbalanced data, here specific techniques like balanced patch sampling were used to mitigate this effect. Clinical Transparency: due to the black box nature of DL models which could be considered as a limitation, studies combined XAI or heatmaps visualization to provide higher clinical utility.
Most studies showed solid methodological design, especially those utilized large datasets or multi-modal inputs of MRIs, however some sources of bias couldn’t be exempted including lack of external confidential validation and limited dataset sizes.

Data Synthesis
The review synthesized findings from 8 studies focusing on advanced DL architectures for breast MRI. Among the reviewed studies, hybrid and multi-modal models consistently outperformed single-modal, and YOLO-based detectors demonstrated higher real-time localization abilities. While diagnostic accuracy shown to remain above 90%, the evidence base remains geographically and institutionally narrow due to many reasons.
In terms of addressed challenges for the transition of these models into clinical routines, most studies relied on limited set of publicly available datasets (e.g. Duke, QIN Breast), suggesting that while the architecture is good, the evidence base still needed and validation is still required for clinical standards. Moreover, the high computational costs remain as a barrier to adopting real-world deployment, which raises the need for something like a lightweight model that can be integrated into existing radiology workstations. Furthermore, the transparency issue in AI-Assisted decision-making tools needs a collaborative effort to utilize high quality, annotated, and diverse MRI data to ensure generalizability and validated frameworks.
In conclusion, DL is showing great promise for transforming breast MRI analysis from early detection and segmentation to personalized treatment planning. The combination of data diversity, explainable models, and clinical settings will shape the next era of computer-aided BC diagnosis, ultimately reduce human tedious workload and improve patient outcomes, while considering the limitations and challenges addressed previously.

Timeline
Review conducted between [September 2025 – January 2026].",,OSF Registries,2026,RegistrationComponent,Text,No license,,https://osf.io/4ceuz/,OSF,4ceuz,"""diagnostic accuracy""",True,False,files_enumerated,0
10.17605/osf.io/4dgr3,Prognostic value of procalcitonin for bacteremia in pediatric oncologic febrile neutropenia in a Peruvian population,"This project evaluates the prognostic value of serum procalcitonin measured at hospital admission for the detection of bacteremia in pediatric oncology patients presenting with febrile neutropenia. Using a diagnostic test design nested within a retrospective cohort, the study analyzes the first episode of febrile neutropenia in hospitalized children with cancer between 2021 and 2025 at a specialized referral center in Peru. Clinical characteristics, admission procalcitonin levels, and blood culture results obtained within the first 48 hours are assessed. Diagnostic accuracy measures, including ROC curve analysis, sensitivity, specificity, predictive values, and likelihood ratios, are used to determine the optimal procalcitonin cutoff. This project aims to generate local evidence to improve risk stratification and support timely clinical decision-making in pediatric febrile neutropenia.",,OSF,2026,Project,Text,,,https://osf.io/4dgr3/,OSF,4dgr3,"""diagnostic accuracy""",True,False,files_enumerated,0
10.17605/osf.io/4exgb,⁠Effect of the use of Artificial Intelligence tools on the diagnostic accuracy of medical students during clinical rotations: A scoping review.,"Introduction: Medical education is at an inflection point due to the rapid technological evolution, marked by the emergence of Artificial Intelligence (AI). Tools such as Machine Learning and Large Language Models (LLMs) are being integrated into the medical and educational fields, offering promising applications such as virtual patient simulation, the creation of personalized learning platforms, and support for clinical decision-making. However, despite the great interest and potential of AI, its integration into the medical curriculum is still early and fragmented. There is a need for rigorous scientific literature that specifically evaluates the impact of using these tools on the clinical judgment and diagnostic accuracy of medical students during their clinical rotations. Therefore, conducting a scoping review is justified to synthesize the available evidence, identify knowledge gaps, and propose strategies for optimal AI integration into medical training.


Methodology: A scoping review will be conducted following the guidelines of the Joanna Briggs Institute (JBI) and the PRISMA Extension for Scoping Reviews (PRISMA-ScR). The search will be performed in key electronic databases such as PubMed, Scopus, Web of Science, and Bireme, complemented by a review of gray literature (government reports, theses). Search terms will be developed using controlled vocabulary (MeSH, DeCS) and related keywords, focusing on the intersection of ""Artificial Intelligence"", ""Diagnostic Accuracy"", and ""Medical Students in Clinical Rotations"". Scientific articles, reviews, and technical documents in Spanish, English, and Portuguese, published between January 2015 and November 2025, will be included. The study selection process will be managed with Rayyan software and will involve title and abstract screening, followed by full-text review by two independent reviewers, with a third for conflict resolution. Data extraction will focus on bibliographic information, study objectives, methodological design, population, the type of AI used, and the documented effects on diagnostic accuracy.


Expected Results: This scoping review is expected to provide a comprehensive overview of the current evidence, allowing for: Identification of the specific types of AI tools that have been used for educational purposes in medical students during clinical rotations. Analysis of the positive and negative effects of AI use on students' diagnostic accuracy, differentiating the clinical areas of greatest application, as well as examination of the ethical and pedagogical implications associated with incorporating AI into clinical training settings and proposal of a framework for integrating artificial intelligence into medical education that optimizes its use as a learning resource while minimizing its potential adverse effects. The results of this research will serve as a fundamental guide for trainees, educators, healthcare professionals, and educational policy makers, facilitating informed decision-making regarding the implementation of AI in the training of future physicians.","Medicine and Health Sciences | Analytical, Diagnostic and Therapeutic Techniques and Equipment | Medical Education",OSF,2025,Project,Text,,,https://osf.io/4exgb/,OSF,4exgb,"""diagnostic accuracy""",True,False,files_enumerated,1
10.17605/osf.io/4hwpd,Accuracy of Intraoperative Surgical Margin Assessment Techniques in Veterinary Oncology,"Accurate determination of surgical margin status is fundamental for detecting residual microscopic residual cancer in patients, predicting clinical outcomes, and optimizing treatment planning. Postoperative histopathology following surgical tumor resection is considered the gold standard for margin evaluation; however, this process typically takes one or two weeks to obtain results and only a limited sample of the surgical margins are assessed. Consequently, this delay results in a missed opportunity to evaluate surgical margins in real time and to utilize that information for immediate intraoperative decision-making, which could improve patient outcomes. Several techniques are available for intraoperative surgical margin assessment, each with different levels of accuracy, including frozen tissue section biopsy, imprint cytology margin, near-infrared fluorescence imaging, and optical coherence tomography (OCT) which has the potential to guide surgical-decision making in real-time.

This review aims to compare the diagnostic accuracy of intraoperative surgical margin evaluation techniques as individual studies focus on the reporting of accuracy of one technique in comparison to histopathology. Only studies on canine cutaneous or subcutaneous tumors will be included in the review. 
The primary outcome of the review is comparison of diagnostic accuracy for detection of positive surgical margins in cutaneous and subcutaneous tumors across techniques.",Veterinary Medicine | Medicine and Health Sciences | Other Veterinary Medicine | Small or Companion Animal Medicine | Veterinary Pathology and Pathobiology | NIFR | OCT | PSOCT | canine | cutaneous mass | dog | frozen section | frozen tissue section biopsy | imprint cytology | imprint cytology margin | incomplete margins | intraoperative | margin evaluation | mast cell tumor | mct | msenchymal cell tumor | near-infrared fluorescence imaging | oncology | optical coherence tomography | positive margin | real time | skin tumor | soft tissue sarcoma | subcuteneous mass | surgical margin | surgical oncology,OSF,2025,Project,Text,No license,,https://osf.io/4hwpd/,OSF,4hwpd,"""diagnostic accuracy""",True,False,files_enumerated,1
10.17605/osf.io/4mbua,DEEP LEARNING FOR AUTOMATED DETECTION AND CLASSIFICATION OF TEMPOROMANDIBULAR JOINT DISORDERS: A SCOPING REVIEW,"Title: Deep Learning for Automated Detection and Classification of Temporomandibular Joint Disorders: A Scoping Review

Temporomandibular Joint Disorders (TMDs) are a significant clinical challenge associated with pain, functional impairment, and reduced quality of life. Traditional diagnostic approaches—such as manual interpretation of MRI, CBCT, CT, or panoramic images—can be time-consuming, subjective, and affected by inter-observer variability. With recent advancements in artificial intelligence (AI), particularly deep learning (DL) techniques, automated detection and classification of TMDs has emerged as a promising solution to enhance diagnostic accuracy and efficiency.

This scoping review systematically maps current evidence on deep learning applications for diagnosing TMDs, including anterior disc displacement (ADD), osteoarthritis, condylar degeneration, and degenerative joint disease. Using PRISMA-ScR guidelines, a comprehensive search across PubMed, ScienceDirect, IEEE Xplore, Google Scholar, and Wiley identified 15 eligible studies published between 2015 and 2025.

Across these studies, models such as Convolutional Neural Networks (CNNs), U-Net, ResNet, VGG16, MobileNetV2, YOLO, and ensemble architectures demonstrated high diagnostic performance—achieving accuracy levels up to 99%, sensitivity up to 98%, and significant improvements in segmentation precision. Findings indicate that deep learning can reduce diagnostic time by up to 50%, standardize interpretation, and serve as an effective decision-support tool for clinicians.

Despite promising results, challenges remain related to dataset diversity, external validation, reproducibility, and clinical integration. Future research should focus on multi-center datasets, multimodal learning, standardized benchmarking, explainability methods such as Grad-CAM, and ethical frameworks for AI deployment in healthcare.

This review highlights the potential of deep learning to transform TMD diagnostics, contributing to faster, more accurate, and more consistent radiologic evaluation, ultimately improving clinical outcomes for patients.",Radiology | Medicine and Health Sciences | Medical Specialties | Dentistry | FOS: Clinical medicine,OSF Registries,2025,Pre-registration,StudyRegistration,No license,,https://osf.io/4mbua/,OSF,4mbua,"""diagnostic accuracy""",True,False,files_enumerated,0
10.17605/osf.io/4nvb5,CIPSEL Score — Supplementary Materials and Figures — Lukmana et al. 2026,"Supplementary materials for the manuscript ""CIPSEL Score: Development and Diagnostic Accuracy of a Novel Screening Tool for Early Detection of Pediatric Visual Impairment in Indonesian School Children"" submitted to Healthcare, MDPI",,OSF,2026,Project,Text,,,https://osf.io/4nvb5/,OSF,4nvb5,"""diagnostic accuracy""",True,False,files_enumerated,10
10.17605/osf.io/4nvpe,Clinical Utility and Necessity of Preoperative CT Imaging in Functional and Aesthetic Nasal Surgery: A Systematic Review,"Overview and rationale 
Rhinoplasty, septoplasty and septorhinoplasty are among the most frequently performed operations worldwide. With a wide variety of indications like external deformities and internal dysfunctions, preoperative evaluations are necessary to inform sound, patient oriented surgical decisions. As such a wide variety of preoperative assessment methods are used, most common of which are physical examination, rhinoscopy, nasal endoscopy and CT imaging. These operations are costly, and most insurance companies require patients to have CT-documentation for clinical justification to proceed with payment. While CT scans provide ample insight into anatomical structures of the sinonasal region to help make informed decisions, they could also harm patients if used frequently due to their utilization of ionizing radiation. And since they are costly procedures, frequent use would also force significant financial burden on healthcare systems. Consequently, some recent studies have advocated for its limited use in complicated cases to ensure patient safety and cost-effectiveness. This PRISMA-2020-conformant systematic review was designed to respond to these controversies and assess CT scans overall utility and necessity in comparison to other preoperative assessment methods. 
Objective 
The main objective of this study was to compare various preoperative assessment methods in patients undergoing rhinoplasty, septoplasty or septorhinoplasty, with a specific focus on the utilization of CT imaging. 
Methods 
Eligibility: studies with patients undergoing rhinoplasty, septoplasty and septorhinoplasty (any age/indication) that utilized preoperative assessment with direct comparisons (CT vs other modalities). Included studies where Randomized trials, cohort studies, case-control studies, case series or cross-sectional studies reporting comparative outcomes. case reports, animal/in vitro studies, reviews, editorials, conference abstracts without full data, or studies lacking direct comparison between CT and alternative methods where excluded. 
Search and databases: an initial search was performed on April 14th,2025 in PubMed, Embase, Scopus, Web of Science and Cochrane library using MeSH terms and keywords. An updated search was performed on November 8th,2025 with same queries to cover the time gap. Language and publication date were not restricted. Also, reference list of relevant articles and systematic reviews were hand-searched to limit potential article-misses. 
Study selection and data extraction: two independent reviewers screened and data extracted articles with a third reviewer to resolve any disagreements. extracted domains included author(s), country, year of publication, sample size, study design, objective, patient characteristics, preoperative assessment methods (including computed tomography (CT) and alternative assessment methods as comparators), surgery type, surgery indication, relevant outcomes (diagnostic or clinical) and limitations. 
Risk of bias: MMAT 2018 was implemented to do study appraisal and risk of bias assessment. Studies where qualitatively categorized (low, medium, high) and no numerical scoring was applied, per MMAT guidance. 
Synthesis and certainty: although meta-analysis was considered initially, narrative synthesis was done due to significant heterogeneity. Certainty was graded using GRADE. 
Transparency: complete search strategies, PRISMA flow, extractions, risk-of-bias justifications and summary will be provided on OSF project page. AI assistance (ChatGPT) was only used for translation of non-English articles for screening and data extraction, with translations manually checked by reviewers. AI was not used to generate scientific content, analysis or conclusion. 
Current status and preliminary evidence map: From 2,334 records, 29 studies were included. The evidence base comprised two parallel-group randomized controlled trials (RCTs); 23 cohort or cross-sectional clinical studies; one technical study; and three laboratory or cadaveric studies. Population included both adult and pediatric; with three studies addressing adult nasal fracture; one pediatric series addressing congenital nasal dermoids; one small prospective case series focusing on adults undergoing secondary rhinoseptoplasty, comparing 3D volume-rendered CT with standard clinical examination; and three cadaveric investigations simulating functional rhinoplasty interventions. most common included preoperative modalities were nasal endoscopy, anterior rhinoscopy, or plain radiography; outcome domains included diagnostic agreement/accuracy, detection of specific anatomic or pathologic findings, changes in surgical planning, and patient-reported outcomes (NOSE, ROE, VAS, SNOT-22).
Expected outcomes and contributions: 
Deliverables: PRISMA-2020 flow diagrams; study characteristics, surgery types, comparator modalities (CT vs alternative preoperative assessment methods), outcomes measured tables; risk of bias summary; GRADE-style summary of findings; SWiM compliant narrative synthesis
Knowledge gains: the study will lead to a clean and complete map of human studies involving comparison of preoperative assessment methods in nasal surgeries, with emphasis on preoperative CT imaging and how it measures up in comparison to other preoperative modalities. This will highlight CT imaging areas of necessity and areas of redundancy, providing a clear map guiding physicians on how and where to use it in their assessments to ensure patients safety. 
Impact: this will help committees to come up with necessary guidelines and protocols for CT usage, inform future study designs to derive deeper paradigms, guide relative regulatory bodies such as ethics committees and insurance companies on appropriate comparators and their use, and help guide physicians for possibly more appropriate choices of preoperative modalities to ensure patient safety
Limitations and Risk Management: possible anticipated limitations in studies are small sample size, unclear randomization and blinding methods, heterogenous study designs, inconsistent outcome definitions, limited objective statistical analysis. To address these, appropriate risk of bias tools, transparent use of GRADE for certainty evaluation and SWiM for narrative synthesis are utilized. 
Ethics, Roles, Dissemination: due to utilization of previously published human studies in this study, ethics approval was non-applicable. The study received no external funding. Team roles covered otolaryngologist, sinus and nasal surgery fellow, and biostatistician/methodologists. 
Corresponding author is Dr. Mehdi Bakhshaee (BakhshaeeM@mums.ac.ir; https://orcid.org/0000-0001-9590-4798)
Study findings will be shared through an open OSF repository (protocol, material, extracted datasets, risk of bias justifications where permissible) and submission to a peer-reviewed journal, summarizing what is known, what is uncertain and what would be the next helpful steps.",Medicine and Health Sciences,OSF Registries,2026,Pre-registration,StudyRegistration,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/4nvpe/,OSF,4nvpe,"""diagnostic accuracy""",True,False,files_enumerated,1
10.17605/osf.io/4pb62,Preprint: Diagnostic Accuracy of Dynamic Radiographs for Vertebral Compression Fractures in Adults : Neutral and Flexion–Extension radiographs,,Medical Sciences | Diseases | Medicine and Health Sciences,OSF,2026,Project,Preprint,,,https://osf.io/4pb62/,OSF,4pb62,"""diagnostic accuracy""",True,False,files_enumerated,1
10.17605/osf.io/4v9mq,"""Hearing Screening in Older Adults: A Systematic Review of the Most Reliable Methods for Detecting Hearing Loss","This systematic review aims to identify and compare hearing screening methods for older adults, focusing on their diagnostic accuracy and effectiveness in early detection of hearing loss. The study will synthesize evidence from observational and diagnostic accuracy studies conducted in low- and middle-income countries. Findings are expected to inform clinical practice and improve hearing healthcare policies for aging populations.",Public Health | Medicine and Health Sciences | Hearing screening | Older adults | Sensitivity and Specificity | Systematic Review,OSF,2025,Project,PeerReview,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/4v9mq/,OSF,4v9mq,"""diagnostic accuracy"" | ""sensitivity and specificity""",True,False,files_enumerated,1
