source,review_id,audit_review_title,group_id,audit_test_name,audit_source_url,recorded_study_rows,recorded_aggregate_tp,recorded_aggregate_fp,recorded_aggregate_fn,recorded_aggregate_tn,recorded_aggregate_sensitivity,recorded_aggregate_specificity,recorded_aggregate_youden_j,recorded_adjudication,recorded_parser_error_found,review_title,test_name,study_id,tp,fp,fn,tn,source_status,source_row,source_version,group_source_file,group_source_sheet,group_source_url,group_source_sha256,analysis_scope,eligibility,primary_atlas,selection_status,corpus_source_file,corpus_source_sha256,aggregate_tp,aggregate_fp,aggregate_fn,aggregate_tn,aggregate_sensitivity,aggregate_specificity,aggregate_youden_j,aggregate_direction,source_defined_direction,source_value_status,parser_transformation,error_status,target_label_where_recorded,target_label_status,final_decision,effective_source_file,effective_source_sha256,effective_source_url,source_identity_level
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:11,Urine volume 295: < 500 mL/d,,6,6,16,51,77,0.1052631578947368,0.8279569892473119,-0.0667798528579513,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 500 mL/d,Mack 1994,0,2,2,6,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,6,16,51,77,0.10526315789473684,0.8279569892473119,-0.0667798528579513,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:11,Urine volume 295: < 500 mL/d,,6,6,16,51,77,0.1052631578947368,0.8279569892473119,-0.0667798528579513,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 500 mL/d,Perren 2011,0,12,6,9,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,6,16,51,77,0.10526315789473684,0.8279569892473119,-0.0667798528579513,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Bossingham 2005,0,0,4,17,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Fletcher 1999,0,2,4,9,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Johnson 2003,0,0,15,28,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Lindner 2009,10,3,16,5,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Mack 1994,1,4,1,4,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:12,Urine volume 295: < 800 mL/d,,6,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.0594227504244482,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",Urine volume 295: < 800 mL/d,Perren 2011,4,21,2,0,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,15,30,42,63,0.2631578947368421,0.6774193548387096,-0.05942275042444822,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:97,BIA TBW 295: < 45%,,5,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.0994758690457502,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 45%,Culp 2003,59,12,186,51,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.09947586904575023,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:97,BIA TBW 295: < 45%,,5,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.0994758690457502,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 45%,Gaspar 2011a,2,20,1,5,corrected,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.09947586904575023,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,corrected,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:97,BIA TBW 295: < 45%,,5,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.0994758690457502,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 45%,Kafri 2013,2,1,11,7,corrected,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.09947586904575023,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,corrected,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:97,BIA TBW 295: < 45%,,5,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.0994758690457502,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 45%,Powers 2012,4,0,13,5,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.09947586904575023,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:97,BIA TBW 295: < 45%,,5,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.0994758690457502,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 45%,Stookey 2005,26,692,44,1184,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,93,725,255,1252,0.2672413793103448,0.6332827516439049,-0.09947586904575023,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:98,BIA TBW 295: < 47%,,5,126,956,222,1021,0.3620689655172414,0.5164390490642388,-0.1214919854185199,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 47%,Culp 2003,85,18,160,45,ok,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,126,956,222,1021,0.3620689655172414,0.5164390490642388,-0.12149198541851991,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,ok,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
Cochrane DTA Reference Dataset,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",legacy:CD009647:98,BIA TBW 295: < 47%,,5,126,956,222,1021,0.3620689655172414,0.5164390490642388,-0.1214919854185199,Excluded without flipping. The source-defined test direction yields aggregate Youden J below zero; no parser transformation was applied.,False,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",BIA TBW 295: < 47%,Gaspar 2011a,3,22,0,3,corrected,,CL145_open_set_20181101,,,,,extracted_secondary,below_chance_orientation,False,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,126,956,222,1021,0.3620689655172414,0.5164390490642388,-0.12149198541851991,below chance under source-defined positive-test direction,as encoded in the source table; no outcome flip,corrected,none documented in locked normalized fields,no parser error recorded in locked author audit,,no separate target-label field in locked normalized data,excluded without automatic flipping,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,,archive_or_package
