source,source_version,review_id,review_title,group_id,group_number,test_name,analysis_scope,study_rows,unique_studies,paired_studies,eligibility,primary_atlas,published_studies,published_sensitivity,published_sensitivity_low,published_sensitivity_high,published_specificity,published_specificity_low,published_specificity_high,model_status,source_file,source_sheet,source_url,source_sha256,source_license,source_license_url,selection_status,duplicate_of_group_id,sensitivity,specificity,model,sensitivity_difference,specificity_difference,absolute_sensitivity_difference,absolute_specificity_difference,large_discrepancy,threshold_metadata_status,study_count_metadata_status,estimator_comparison_status,explanation_from_available_metadata
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,legacy:CD010657:5,5,DMSA,reported_main,19,19,19,eligible,True,19.0,0.75,0.67,0.81,0.48,0.38,0.57,converged,,,,,,,,,0.7338658567961608,0.4808985052564714,continuity-corrected bivariate REML,-0.016134143203839213,0.0008985052564713936,0.016134143203839213,0.0008985052564713936,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,legacy:CD010657:6,6,DMSA for high-grade VUR,reported_main,10,10,10,eligible,True,10.0,0.93,0.77,0.98,0.44,0.33,0.56,converged,,,,,,,,,0.8818492162442587,0.4443636830315655,continuity-corrected bivariate REML,-0.04815078375574133,0.0043636830315654795,0.04815078375574133,0.0043636830315654795,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010502,Rapid antigen detection test for group A streptococcus in children with pharyngitis,legacy:CD010502:2,2,Complete verification,reported_main,105,105,105,eligible,True,105.0,0.856,0.833,0.876,0.954,0.945,0.962,converged,,,,,,,,,0.8399392719748975,0.9462095556356092,continuity-corrected bivariate REML,-0.0160607280251025,-0.007790444364390803,0.0160607280251025,0.007790444364390803,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011420,Lateral flow urine lipoarabinomannan assay for detecting active tuberculosis in HIV-positive adults,legacy:CD011420:2,2,LF-LAM (grade 2) for TB diagnosis,reported_main,5,5,5,eligible,True,5.0,0.45,0.29,0.63,0.92,0.8,0.97,converged,,,,,,,,,0.4415253771206511,0.9242503960900088,continuity-corrected bivariate REML,-0.008474622879348914,0.004250396090008768,0.008474622879348914,0.004250396090008768,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012165,Endometrial biomarkers for the non-invasive diagnosis of endometriosis,legacy:CD012165:12,12,CYP19,reported_main,8,8,8,eligible,True,8.0,0.77,0.7,0.85,0.74,0.65,0.84,converged,,,,,,,,,0.756499801891888,0.7222282219607791,continuity-corrected bivariate REML,-0.013500198108111983,-0.01777177803922092,0.013500198108111983,0.01777177803922092,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012165,Endometrial biomarkers for the non-invasive diagnosis of endometriosis,legacy:CD012165:26,26,PGP 9.5 (protein gene product 9.5),reported_main,8,8,8,eligible,True,7.0,0.96,0.91,1.0,0.86,0.7,1.0,converged,,,,,,,,,0.8867562101576616,0.7691188942925755,continuity-corrected bivariate REML,-0.07324378984233837,-0.09088110570742447,0.07324378984233837,0.09088110570742447,False,no separate threshold field available,source-reported study count differs from canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010360,Intraoperative frozen section analysis for the diagnosis of early stage ovarian cancer in suspicious pelvic masses,legacy:CD010360:1,1,Frozen section: malignant versus borderline/benign,reported_main,38,38,38,eligible,True,38.0,0.9,0.876,0.92,0.995,0.992,0.997,converged,,,,,,,,,0.8814681032516721,0.989070386861848,continuity-corrected bivariate REML,-0.018531896748327892,-0.00592961313815199,0.018531896748327892,0.00592961313815199,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010360,Intraoperative frozen section analysis for the diagnosis of early stage ovarian cancer in suspicious pelvic masses,legacy:CD010360:2,2,Frozen section: malignant/borderline versus benign,reported_main,38,38,38,eligible,True,38.0,0.965,0.955,0.973,0.895,0.866,0.919,converged,,,,,,,,,0.9527310353495276,0.890319005672086,continuity-corrected bivariate REML,-0.012268964650472336,-0.004680994327914023,0.012268964650472336,0.004680994327914023,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010360,Intraoperative frozen section analysis for the diagnosis of early stage ovarian cancer in suspicious pelvic masses,legacy:CD010360:3,3,Frozen section: malignant versus borderline/benign in subgroup of patients with frozen section result,reported_main,38,38,38,eligible,True,38.0,0.94,0.92,0.955,0.958,0.924,0.978,converged,,,,,,,,,0.9191148683618204,0.902824001000228,continuity-corrected bivariate REML,-0.02088513163817951,-0.05517599899977199,0.02088513163817951,0.05517599899977199,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:1,1,Pelvic TVUS,reported_main,5,5,5,eligible,True,5.0,0.65,0.27,1.0,0.95,0.89,1.0,converged,,,,,,,,,0.6313697164633414,0.9233230734273642,continuity-corrected bivariate REML,-0.01863028353665863,-0.026676926572635762,0.01863028353665863,0.026676926572635762,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:2,2,Ovarian TVUS,reported_main,8,8,8,eligible,True,8.0,0.93,0.87,0.99,0.96,0.92,0.99,converged,,,,,,,,,0.8894268809161817,0.939514386930532,continuity-corrected bivariate REML,-0.04057311908381833,-0.020485613069467945,0.04057311908381833,0.020485613069467945,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:6,6,USL TVUS,reported_main,7,7,7,eligible,True,7.0,0.64,0.5,0.79,0.97,0.93,1.0,converged,,,,,,,,,0.6258920604319687,0.9476777829106195,continuity-corrected bivariate REML,-0.014107939568031358,-0.022322217089380425,0.014107939568031358,0.022322217089380425,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:7,7,RVS TVUS,reported_main,10,10,10,eligible,True,10.0,0.88,0.82,0.94,1.0,0.98,1.0,converged,,,,,,,,,0.6687812592009591,0.9735241130638814,continuity-corrected bivariate REML,-0.2112187407990409,-0.026475886936118576,0.2112187407990409,0.026475886936118576,True,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,"Available metadata: test label 'RVS TVUS', analysis scope 'reported_main', source model status 'converged', and no separate threshold field. The source-reported and canonical study counts both equal 10. The locked metadata do not contain enough threshold or pooling-definition detail to attribute the difference to a single cause."
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:9,9,Vaginal TVUS,reported_main,6,6,6,eligible,True,6.0,0.57,0.21,0.94,0.99,0.96,1.0,converged,,,,,,,,,0.5648974467514303,0.973107672948585,continuity-corrected bivariate REML,-0.0051025532485696745,-0.016892327051414968,0.0051025532485696745,0.016892327051414968,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:10,10,POD TVUS,reported_main,6,6,6,eligible,True,6.0,0.83,0.77,0.88,0.97,0.95,0.99,converged,,,,,,,,,0.8140135406336484,0.9566008045292742,continuity-corrected bivariate REML,-0.01598645936635157,-0.013399195470725767,0.01598645936635157,0.013399195470725767,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:12,12,Rectosigmoid TVUS,reported_main,14,14,14,eligible,True,14.0,0.9,0.82,0.97,0.96,0.94,0.99,converged,,,,,,,,,0.8776842997858987,0.9399077178393246,continuity-corrected bivariate REML,-0.02231570021410134,-0.02009228216067538,0.02231570021410134,0.02009228216067538,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:21,21,Pelvic MRI,reported_main,7,7,7,eligible,True,7.0,0.79,0.7,0.88,0.72,0.51,0.92,converged,,,,,,,,,0.7661052348394163,0.6919740499761876,continuity-corrected bivariate REML,-0.023894765160583753,-0.028025950023812363,0.023894765160583753,0.028025950023812363,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:33,33,POD MRI,reported_main,5,5,5,eligible,True,5.0,0.9,0.76,1.0,0.98,0.89,1.0,converged,,,,,,,,,0.8676412811648538,0.8989311082928707,continuity-corrected bivariate REML,-0.03235871883514618,-0.08106889170712928,0.03235871883514618,0.08106889170712928,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,legacy:CD009591:36,36,Rectosigmoid MRI,reported_main,6,6,6,eligible,True,6.0,0.92,0.86,0.99,0.96,0.93,0.98,converged,,,,,,,,,0.9015355710075782,0.9424378064769472,continuity-corrected bivariate REML,-0.018464428992421844,-0.01756219352305277,0.018464428992421844,0.01756219352305277,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,1,Overall,reported_main,50,50,50,eligible,True,50.0,0.73,0.65,0.8,0.89,0.84,0.92,converged,,,,,,,,,0.66739819853567,0.8685376940184669,continuity-corrected bivariate REML,-0.06260180146433003,-0.021462305981533092,0.06260180146433003,0.021462305981533092,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,2,Children,reported_main,7,7,7,eligible,True,6.0,0.84,0.66,0.93,0.88,0.6,0.97,converged,,,,,,,,,0.4415733163332941,0.9643787328215978,continuity-corrected bivariate REML,-0.39842668366670586,0.0843787328215978,0.39842668366670586,0.0843787328215978,True,no separate threshold field available,source-reported study count differs from canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,"Available metadata: test label 'Children', analysis scope 'reported_main', source model status 'converged', and no separate threshold field. The source summary reports 6 studies, whereas the canonical manifest contains 7 study rows. This observed source-definition mismatch may contribute to the difference but does not establish causality."
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011134,Blood CEA levels for detecting recurrent colorectal cancer,legacy:CD011134:2,2,CEA at 2.5µg/L,reported_main,7,7,7,eligible,True,7.0,0.82,0.78,0.86,0.8,0.59,0.92,converged,,,,,,,,,0.807049311811851,0.7889868234329308,continuity-corrected bivariate REML,-0.012950688188148929,-0.011013176567069238,0.012950688188148929,0.011013176567069238,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011134,Blood CEA levels for detecting recurrent colorectal cancer,legacy:CD011134:3,3,CEA at 5µg/L,reported_main,23,23,23,eligible,True,23.0,0.71,0.64,0.76,0.88,0.84,0.92,converged,,,,,,,,,0.6915400611727838,0.8713569297045841,continuity-corrected bivariate REML,-0.018459938827216194,-0.008643070295415889,0.018459938827216194,0.008643070295415889,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011134,Blood CEA levels for detecting recurrent colorectal cancer,legacy:CD011134:4,4,CEA at 10µg/L,reported_main,7,7,7,eligible,True,7.0,0.68,0.53,0.79,0.97,0.9,0.99,converged,,,,,,,,,0.6654235054406229,0.9468955654059342,continuity-corrected bivariate REML,-0.014576494559377151,-0.023104434594065748,0.014576494559377151,0.023104434594065748,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011975,First trimester serum tests for Down's syndrome screening,legacy:CD011975:37,37,Age; PAPP-A,reported_main,5,5,5,eligible,True,5.0,0.55,0.46,0.63,0.95,0.94,0.96,converged,,,,,,,,,0.5464064129237599,0.9494624465317107,continuity-corrected bivariate REML,-0.0035935870762401345,-0.0005375534682892091,0.0035935870762401345,0.0005375534682892091,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011975,First trimester serum tests for Down's syndrome screening,legacy:CD011975:39,39,Age; free ßhCG,reported_main,7,7,7,eligible,True,7.0,0.42,0.36,0.48,0.95,0.94,0.96,converged,,,,,,,,,0.4178171255921534,0.9497218108446116,continuity-corrected bivariate REML,-0.002182874407846591,-0.0002781891553883531,0.002182874407846591,0.0002781891553883531,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011975,First trimester serum tests for Down's syndrome screening,legacy:CD011975:55,55,Age; PAPP-A and free ßhCG,reported_main,17,17,17,eligible,True,17.0,0.68,0.65,0.71,0.95,0.95,0.95,converged,,,,,,,,,0.6775867432993596,0.949872455582919,continuity-corrected bivariate REML,-0.0024132567006404093,-0.00012754441708096032,0.0024132567006404093,0.00012754441708096032,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010023,Computed tomography versus magnetic resonance imaging versus bone scintigraphy for clinically suspected scaphoid fractures in patients with negative plain radiographs,legacy:CD010023:2,2,MRI,reported_main,5,5,5,eligible,True,5.0,0.88,0.64,0.97,1.0,0.38,1.0,converged,,,,,,,,,0.7843818274087159,0.9615323940850976,continuity-corrected bivariate REML,-0.09561817259128413,-0.03846760591490239,0.09561817259128413,0.03846760591490239,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010023,Computed tomography versus magnetic resonance imaging versus bone scintigraphy for clinically suspected scaphoid fractures in patients with negative plain radiographs,legacy:CD010023:3,3,BS,reported_main,6,6,6,eligible,True,6.0,0.99,0.69,1.0,0.86,0.73,0.94,converged,,,,,,,,,0.9531408513426388,0.8474227958177396,continuity-corrected bivariate REML,-0.036859148657361174,-0.012577204182260382,0.036859148657361174,0.012577204182260382,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions,legacy:CD010276:1,1,Vital Staining,reported_main,15,15,15,eligible,True,14.0,0.84,0.74,0.9,0.7,0.59,0.79,converged,,,,,,,,,0.8017847458712539,0.6935228318863991,continuity-corrected bivariate REML,-0.038215254128746046,-0.006477168113600884,0.038215254128746046,0.006477168113600884,False,no separate threshold field available,source-reported study count differs from canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
