member_path,source_path,role,upload_designation,bytes,sha256
repository/docs/manuscript/v19/figures/figure_1_framework_and_worked_profile.png,docs/manuscript/v19/figures/figure_1_framework_and_worked_profile.png,colour figure master,reviewer reproducibility material,786341,a19fda1cb7c2e28eff6a7c7b1b64a6fd761fa09fd84a32a00ba38a46f4e77081
repository/docs/manuscript/v19/figures/figure_2_signature_atlas.pdf,docs/manuscript/v19/figures/figure_2_signature_atlas.pdf,colour figure master,reviewer reproducibility material,77122,78e0248268aaeee1aa4b22021000b709fb673b95d9e47e38e01dd139e4b5696f
repository/docs/manuscript/v19/figures/figure_2_signature_atlas.png,docs/manuscript/v19/figures/figure_2_signature_atlas.png,colour figure master,reviewer reproducibility material,953904,f8ea471591607e84aef6302aec3cb8386c02537faaa7efaf2185d8a547ed5059
repository/docs/manuscript/v19/figures/figure_3_three_non_equivalences.pdf,docs/manuscript/v19/figures/figure_3_three_non_equivalences.pdf,colour figure master,reviewer reproducibility material,28516,9edf4d5345a6180b6979118ed91ca004b84d2bb251c1c4813a561c453b7c4272
repository/docs/manuscript/v19/figures/figure_3_three_non_equivalences.png,docs/manuscript/v19/figures/figure_3_three_non_equivalences.png,colour figure master,reviewer reproducibility material,616045,8f89f820072cdc93e5ac35be0a9ece928190468a2a8ca4504eb3c8545bd49c76
repository/docs/manuscript/v19/figures/figure_4_result_branch_entropy.pdf,docs/manuscript/v19/figures/figure_4_result_branch_entropy.pdf,colour figure master,reviewer reproducibility material,54177,7642c2fe4b5100e5c166378defe84a9796bc5f27003eb0fa4e0a6ba4fe264051
repository/docs/manuscript/v19/figures/figure_4_result_branch_entropy.png,docs/manuscript/v19/figures/figure_4_result_branch_entropy.png,colour figure master,reviewer reproducibility material,846580,66e4ea8845cefa881f1bd2221b6f68050f099ceb9837a0db5a71c17246068dd6
repository/docs/manuscript/v19/figures/figure_s1_corpus_and_selection_flow.pdf,docs/manuscript/v19/figures/figure_s1_corpus_and_selection_flow.pdf,colour figure master,reviewer reproducibility material,25451,c63bf3c8d107b22bf9a7020618f0c8fe60bbe43f3d69801c603750304bba8a45
repository/docs/manuscript/v19/figures/figure_s1_corpus_and_selection_flow.png,docs/manuscript/v19/figures/figure_s1_corpus_and_selection_flow.png,colour figure master,reviewer reproducibility material,558214,99ce14473087ffc652f53be84f9d518bda8a78ad0175358a810d86e1f708fca5
repository/docs/manuscript/v19/figures/figure_s2_validation_and_route_stability.pdf,docs/manuscript/v19/figures/figure_s2_validation_and_route_stability.pdf,colour figure master,reviewer reproducibility material,32014,0bf4381ec3b2118c7ac889231cd349c7b974af4acc60b9040f36ca978d04d9fc
repository/docs/manuscript/v19/figures/figure_s2_validation_and_route_stability.png,docs/manuscript/v19/figures/figure_s2_validation_and_route_stability.png,colour figure master,reviewer reproducibility material,504335,fc518a8f81a62646bd26011833b19ebf92f1d2a57942a1c0ce399b2e84bd9699
repository/docs/manuscript/v19/figures/figure_s3_information_distributions_and_youden.pdf,docs/manuscript/v19/figures/figure_s3_information_distributions_and_youden.pdf,colour figure master,reviewer reproducibility material,52955,2ea2ed33ac579632e368f7d823c1a547baf4a1e7dec6ecff0326e9121633d0b8
repository/docs/manuscript/v19/figures/figure_s3_information_distributions_and_youden.png,docs/manuscript/v19/figures/figure_s3_information_distributions_and_youden.png,colour figure master,reviewer reproducibility material,817260,acfce5742a12d070afb85e86eda9fda43bab257daef0e9049469dadad2f2515c
repository/docs/manuscript/v19/figures/figure_s4_recovery_and_diagnostics.pdf,docs/manuscript/v19/figures/figure_s4_recovery_and_diagnostics.pdf,colour figure master,reviewer reproducibility material,45986,4c47fedb9110ef8512b516b041e96016b1bf30e71f7194d7d8182ac98eafa3a5
repository/docs/manuscript/v19/figures/figure_s4_recovery_and_diagnostics.png,docs/manuscript/v19/figures/figure_s4_recovery_and_diagnostics.png,colour figure master,reviewer reproducibility material,632353,bd5cec2be8e7f8f7ea4458eff1e03271bfe2443ea30736977cd44e77371345a8
repository/docs/manuscript/v19/figures/figure_s5_estimator_sensitivity.pdf,docs/manuscript/v19/figures/figure_s5_estimator_sensitivity.pdf,colour figure master,reviewer reproducibility material,50566,5affc4e1846ec796bb63fa84bfc5ecd44c4fadec77e27cb7dfb80c4bb2f46efb
repository/docs/manuscript/v19/figures/figure_s5_estimator_sensitivity.png,docs/manuscript/v19/figures/figure_s5_estimator_sensitivity.png,colour figure master,reviewer reproducibility material,873148,27f1a3ee3c952f808d940768e10a8ba910b015fa2863da02fa222033a6644c18
repository/docs/manuscript/v19/figures/figure_s6_exploratory_contrasts_and_movement.pdf,docs/manuscript/v19/figures/figure_s6_exploratory_contrasts_and_movement.pdf,colour figure master,reviewer reproducibility material,32752,daa706af154a060cb2fe549a78c39cb5d6b3957d3edb75a3e09ecd9cc7df1c5e
repository/docs/manuscript/v19/figures/figure_s6_exploratory_contrasts_and_movement.png,docs/manuscript/v19/figures/figure_s6_exploratory_contrasts_and_movement.png,colour figure master,reviewer reproducibility material,654248,b2be3ca1888d49bd482502b928a441000e03d7135a5e6c857763f0385b678600
repository/docs/manuscript/v19/figures/figure_s7_near_ties_and_composition_audit.pdf,docs/manuscript/v19/figures/figure_s7_near_ties_and_composition_audit.pdf,colour figure master,reviewer reproducibility material,37777,de047a63d9b77e93e498924c85451f7c4fae0e5f7cbf68dd2badba7a07219def
repository/docs/manuscript/v19/figures/figure_s7_near_ties_and_composition_audit.png,docs/manuscript/v19/figures/figure_s7_near_ties_and_composition_audit.png,colour figure master,reviewer reproducibility material,443325,e5ba0c6e78cab3a14c2d7cc41d82bbcf6a79014c9f451f46dfe9673f3e53b544
repository/docs/manuscript/v19/figures/figure_s8_cea_crossing_and_theoretical_checks.pdf,docs/manuscript/v19/figures/figure_s8_cea_crossing_and_theoretical_checks.pdf,colour figure master,reviewer reproducibility material,31286,dbc7ba3b39592e68b1e8ec8a7cbc2de28021e885c4b8a3c9bb0bb7494b9c0067
repository/docs/manuscript/v19/figures/figure_s8_cea_crossing_and_theoretical_checks.png,docs/manuscript/v19/figures/figure_s8_cea_crossing_and_theoretical_checks.png,colour figure master,reviewer reproducibility material,581152,2075b7d736c1f77cbbbeb29fee750a567105605fe09112f6d6a57c9b3d13a1b8
repository/docs/manuscript/v19/pandoc-review-header.tex,docs/manuscript/v19/pandoc-review-header.tex,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,140,f8b6234e6184a97b27be2d419bbe690a44d29f040384616a8955616ae116a425
repository/docs/manuscript/v19/pandoc-shared-header.tex,docs/manuscript/v19/pandoc-shared-header.tex,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,417,ebd155913fcb054b49bfc986a57df79450a275e663af9f8e17c3ebf7437c6693
repository/docs/manuscript/v19/presubmission-inquiry.template.md,docs/manuscript/v19/presubmission-inquiry.template.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,3150,b43164a3ee0fed21fed2be295ea5fe04d0dc340e49e6bb82f67ddf6026ff408d
repository/docs/manuscript/v19/supplement.md,docs/manuscript/v19/supplement.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,26883,d13212815b83c9687810ee75b438c86f01f8e9dc8e13ce500b20ab25e844ff04
repository/docs/manuscript/v19/supplement.template.md,docs/manuscript/v19/supplement.template.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,17953,b39915a0760dbf73064a4ba82c9e9519d6377a7048ab9051b0888c72268cecc4
repository/docs/manuscript/v19/tables/table_1_reporting_architecture.csv,docs/manuscript/v19/tables/table_1_reporting_architecture.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,1514,b2f79596e81622d052d48b1993e49b2214c4e4c8c73c27af64dff3711e9a9e2f
repository/docs/manuscript/v19/tables/table_1_reporting_architecture.docx,docs/manuscript/v19/tables/table_1_reporting_architecture.docx,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,37875,db2179e6a1d8fddd74f13cfb6ea57f94aed57b921418e8a471bfa83f15c47f18
repository/docs/manuscript/v19/tables/table_2_appendicitis_worked_profile.csv,docs/manuscript/v19/tables/table_2_appendicitis_worked_profile.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,2143,838226ffbdd718e56ae015731510dfba4912851c5d7fd70096ab0585c312ea92
repository/docs/manuscript/v19/tables/table_2_appendicitis_worked_profile.docx,docs/manuscript/v19/tables/table_2_appendicitis_worked_profile.docx,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,38274,88ef1237c1a4a31bdfa465077c68a858c2bb94e37fd2e28a44205d8b2d54caff
repository/docs/manuscript/v19/title-page.template.md,docs/manuscript/v19/title-page.template.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,1417,950ebc02f1e0dc6548d5f6597050812f95cbe863be0dd6e58ccc9d1ea4a9bd9f
repository/project.json,project.json,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,3154,38ca7cf3b18e02e5e8206936ad66327ec4d0fdb87e322237253b78c83e529828
repository/requirements-bmj-rmr-v042.txt,requirements-bmj-rmr-v042.txt,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,667,039784786c2a104ed6491fd9b9dda49678814c12a5b3c27b93d9c0cc02065c21
repository/scripts/bmj_rmr_v042.py,scripts/bmj_rmr_v042.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,247322,8ec13a1aa903c2b868d9793183f998574165855fe4f7ae863e957cc97eeb61a4
repository/scripts/bmj_rmr_v042_visuals.py,scripts/bmj_rmr_v042_visuals.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,137095,795e6fbea5bef81fee00d1eb4e26fd648bc016700dd30e91db28c9614b8c700f
repository/scripts/build_bmj_rmr_v042_release.py,scripts/build_bmj_rmr_v042_release.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,40865,02d1258aa877d3af919a9be3624127437b19ef58ff155cbabf9397482ed58c61
repository/scripts/build_bmj_rmr_v19.py,scripts/build_bmj_rmr_v19.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,81659,e893baefe3321bccec337e111edf90756d61b920a9a3bb984c5fff102187497c
repository/scripts/cochrane_dta_atlas.py,scripts/cochrane_dta_atlas.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,145641,90252866656d92e51d932f876f96b3f177c13b3ef6e9541253aedc670c1d6536
repository/scripts/deterministic_release.py,scripts/deterministic_release.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,2392,f76fdc9d481fd111ac674a85b4e9127ae33f8826b014866590c46e748e26ff50
repository/scripts/verify_bmj_rmr_v042_checkout_reproducibility.py,scripts/verify_bmj_rmr_v042_checkout_reproducibility.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,9717,932e5b8dd533d88108dc22fa531a7c00f531d254ec408f806606d9dc1b0b78f7
repository/tests/test_bmj_rmr_v042.py,tests/test_bmj_rmr_v042.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,16332,2d15c689b9fdf7b2cb6f89a7960df39665b281613b36022b6098206c8cfcaa52
repository/tests/test_bmj_rmr_v042_phase3.py,tests/test_bmj_rmr_v042_phase3.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,23864,34ddce8ab8552c5d6014a7b48aed72bd3cbebbf329857b476226f84ed13799ae
repository/tests/test_bmj_rmr_v042_phase4.py,tests/test_bmj_rmr_v042_phase4.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,29012,70f39df5f290a42d0276331b759fdaabd86eb295e04ebf03766703276a1c3686
repository/tests/test_bmj_rmr_v042_phase5.py,tests/test_bmj_rmr_v042_phase5.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,27326,9a4f57cbb22ee0b901f7b447dc000b150d4eacac38951cf998b2751ab00b0cf8
repository/tests/test_bmj_rmr_v042_phase6.py,tests/test_bmj_rmr_v042_phase6.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,22006,15d5d55a6f1a582b84d428964f8b6b6f83a033c213cd76d6f59c9d6a9cb640aa
repository/tests/test_bmj_rmr_v042_phase7.py,tests/test_bmj_rmr_v042_phase7.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,20266,99c8567493ba8e310ebac09a10e6a30067480d0e572831220e7f2f1bd41fc1e2
repository/tests/test_bmj_rmr_v042_spec.py,tests/test_bmj_rmr_v042_spec.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,7157,072259ad7f4f4674e09ebb6c41931970bd24f7d863461ea18e3951d0fe788129
repository/tests/test_cochrane_dta_atlas.py,tests/test_cochrane_dta_atlas.py,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,11371,29762fbaeadde1f74c1ae0bbe72965e1197bf108b9ad975952ec3e1ae6dd0eaf
